Order_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Region,Order_Date,Ship_Date,Product_Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit,Profit_Margin,Shipping_Cost,Payment_Method,Customer_Segment,Delivery_Status,Rating,Processing_Days,Month,Quarter,Year
ORD623682,CUST8349,Customer_CUST8349,Male,32,Nagpur,Maharashtra,India,West,2024-06-16,2024-06-26,Home & Kitchen,Furniture,Microwave Oven,3,5000,0.1,13500.0,3067.89,0.2272511111111111,1179.59,Net Banking,Premium,Cancelled,1.0,10,6,2,2024
ORD938504,CUST3316,Customer_CUST3316,Male,26,Mumbai,Maharashtra,India,West,2022-01-11,2022-01-21,Sports & Outdoors,Outdoor Gear,Yoga Mat,3,1000,0.27,2190.0,391.85,0.17892694063926942,707.08,Debit Card,Gold,Pending,3.0,10,1,1,2022
ORD464982,CUST5047,Customer_CUST5047,Male,37,Hyderabad,Telangana,India,South,2022-09-25,2022-10-01,Sports & Outdoors,Fitness,Football,5,3000,0.13,13050.0,2963.97,0.22712413793103448,952.78,Debit Card,Gold,Delivered,2.0,6,9,3,2022
ORD763493,CUST1685,Customer_CUST1685,Male,32,Kolkata,West Bengal,India,East,2023-09-07,2023-09-08,Clothing,Accessories,Adidas Shoes,1,1000,0.13,870.0,49.56,0.05696551724137931,419.2,Debit Card,Gold,Returned,4.0,1,9,3,2023
ORD814191,CUST6397,Customer_CUST6397,Female,30,Nagpur,Maharashtra,India,West,2023-07-24,2023-08-02,Electronics,Tablets,Fitbit Watch,3,10000,0.21,23700.0,4318.04,0.1821957805907173,1450.1,Credit Card,Regular,Cancelled,4.0,9,7,3,2023
ORD823683,CUST5957,Customer_CUST5957,Female,47,Kolkata,West Bengal,India,East,2023-05-03,2023-05-13,Home & Kitchen,Decor,Bed Sheets,3,3000,0.11,8010.0,1951.1,0.24358302122347064,259.81,Net Banking,Regular,Pending,1.0,10,5,2,2023
ORD788343,CUST6765,Customer_CUST6765,Male,44,Pune,Maharashtra,India,West,2024-09-04,2024-09-08,Sports & Outdoors,Outdoor Gear,Tent,5,2500,0.15,10625.0,1056.95,0.09947764705882353,1360.77,Credit Card,Gold,Pending,4.0,4,9,3,2024
ORD134008,CUST6168,Customer_CUST6168,Female,25,Indore,Madhya Pradesh,India,Central,2022-01-27,2022-01-30,Electronics,Laptops,Fitbit Watch,2,2000,0.1,3600.0,693.56,0.19265555555555555,925.91,Net Banking,Silver,Pending,5.0,3,1,1,2022
ORD184009,CUST9961,Customer_CUST9961,Male,37,Nagpur,Maharashtra,India,West,2024-04-16,2024-04-21,Clothing,Women's Wear,Formal Suit,2,1000,0.08,1840.0,107.3,0.058315217391304346,990.08,COD,Silver,Delivered,1.0,5,4,2,2024
ORD813067,CUST5837,Customer_CUST5837,Male,43,Mumbai,Maharashtra,India,West,2023-01-29,2023-02-03,Books,Non-Fiction,Deep Work,2,1000,0.11,1780.0,398.34,0.22378651685393258,829.96,Debit Card,Regular,Cancelled,4.0,5,1,1,2023
ORD897885,CUST9305,Customer_CUST9305,Female,45,Ahmedabad,Gujarat,India,West,2024-02-05,2024-02-10,Electronics,Laptops,Canon Camera,3,10000,0.11,26700.0,6570.12,0.24607191011235954,844.52,UPI,Regular,Delivered,4.0,5,2,1,2024
ORD479267,CUST4964,Customer_CUST4964,Male,43,Indore,Madhya Pradesh,India,Central,2022-07-07,2022-07-10,Home & Kitchen,Cookware,Sofa Set,2,1500,0.23,2310.0,481.29,0.20835064935064937,679.59,UPI,Premium,Pending,1.0,3,7,3,2022
ORD580649,CUST4534,Customer_CUST4534,Male,33,Pune,Maharashtra,India,West,2022-01-30,2022-02-04,Sports & Outdoors,Camping,Running Shoes,4,800,0.16,2688.0,562.31,0.2091927083333333,412.78,COD,Premium,Cancelled,4.0,5,1,1,2022
ORD591325,CUST9470,Customer_CUST9470,Male,29,Nagpur,Maharashtra,India,West,2022-01-08,2022-01-14,Electronics,Tablets,iPhone 14,2,30000,0.25,45000.0,9614.06,0.21364577777777777,975.5,Credit Card,Gold,Pending,2.0,6,1,1,2022
ORD137040,CUST3865,Customer_CUST3865,Male,37,Hyderabad,Telangana,India,South,2023-12-06,2023-12-16,Books,Comics,Sapiens,1,300,0.24,228.0,26.94,0.11815789473684211,122.99,COD,Gold,Delivered,5.0,10,12,4,2023
ORD631876,CUST7051,Customer_CUST7051,Female,33,Chennai,Tamil Nadu,India,South,2023-11-08,2023-11-18,Books,Non-Fiction,Harry Potter,5,150,0.05,712.5,153.38,0.21527017543859647,2448.34,Net Banking,Regular,Cancelled,2.0,10,11,4,2023
ORD280633,CUST5763,Customer_CUST5763,Female,34,Mumbai,Maharashtra,India,West,2023-02-21,2023-03-01,Sports & Outdoors,Cycling,Mountain Bike,3,3000,0.28,6480.0,1574.29,0.242945987654321,1047.03,Debit Card,Premium,Cancelled,2.0,8,2,1,2023
ORD522889,CUST1873,Customer_CUST1873,Male,54,Kolkata,West Bengal,India,East,2023-07-30,2023-08-05,Books,Comics,Atomic Habits,5,1000,0.07,4650.0,639.4,0.13750537634408602,1654.35,Credit Card,Premium,Pending,3.0,6,7,3,2023
ORD663394,CUST7035,Customer_CUST7035,Male,56,Hyderabad,Telangana,India,South,2022-05-24,2022-06-03,Electronics,Accessories,Canon Camera,3,70000,0.07,195300.0,13204.73,0.06761254480286738,309.41,Credit Card,Gold,Pending,2.0,10,5,2,2022
ORD142344DUP,CUST2723,Customer_CUST2723,Female,25,Pune,Maharashtra,India,West,2024-05-27,2024-06-04,Clothing,Footwear,Adidas Shoes,2,300,0.23,462.0,23.78,0.051471861471861474,845.59,UPI,Gold,Cancelled,3.0,8,5,2,2024
