Order_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Region,Order_Date,Ship_Date,Product_Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Profit,Shipping_Cost,Sales,Payment_Method,Customer_Segment,Delivery_Status,Rating,Month,Quarter,Year
ORD623682,CUST8349,Customer_CUST8349,Male,32,Nagpur,Maharashtra,India,West,2024-06-16,2024-06-26,Home & Kitchen,Furniture,Microwave Oven,3,5000,0.1,3067.89,1179.59,13545.79,Net Banking,Premium,Cancelled,1.0,6,2,2024
ORD938504,CUST3316,Customer_CUST3316,Male,26,Mumbai,Maharashtra,India,West,2022-01-11,2022-01-21,Sports & Outdoors,Outdoor Gear,Yoga Mat,3,1000,0.27,391.85,707.08,2186.81,Debit Card,Gold,Pending,3.0,1,1,2022
ORD464982,CUST5047,Customer_CUST5047,Male,37,Hyderabad,Telangana,India,South,2022-09-25,2022-10-01,Sports & Outdoors,Fitness,Football,5,3000,0.13,2963.97,952.78,13101.15,Debit Card,Gold,Delivered,2.0,9,3,2022
ORD763493,CUST1685,Customer_CUST1685,Male,32,Kolkata,West Bengal,India,East,2023-09-07,2023-09-08,Clothing,Accessories,Adidas Shoes,1,1000,0.13,49.56,419.2,865.46,Debit Card,Gold,Returned,4.0,9,3,2023
ORD814191,CUST6397,Customer_CUST6397,Female,30,Nagpur,Maharashtra,India,West,2023-07-24,2023-08-02,Electronics,Tablets,Fitbit Watch,3,10000,0.21,4318.04,1450.1,23703.37,Credit Card,Regular,Cancelled,4.0,7,3,2023
ORD823683,CUST5957,Customer_CUST5957,Female,47,Kolkata,West Bengal,India,East,2023-05-03,2023-05-13,Home & Kitchen,Decor,Bed Sheets,3,3000,0.11,1951.1,259.81,8033.47,Net Banking,Regular,Pending,1.0,5,2,2023
ORD788343,CUST6765,Customer_CUST6765,Male,44,Pune,Maharashtra,India,West,2024-09-04,2024-09-08,Sports & Outdoors,Outdoor Gear,Tent,5,2500,0.15,1056.95,1360.77,10582.25,Credit Card,Gold,Pending,4.0,9,3,2024
ORD134008,CUST6168,Customer_CUST6168,Female,25,Indore,Madhya Pradesh,India,Central,2022-01-27,2022-01-22,Electronics,Laptops,Fitbit Watch,2,2000,0.1,693.56,925.91,3615.73,Net Banking,Silver,Pending,5.0,1,1,2022
ORD184009,CUST9961,Customer_CUST9961,Male,37,Nagpur,Maharashtra,India,West,2024-04-16,2024-04-21,Clothing,Women's Wear,Formal Suit,2,1000,0.08,107.3,990.08,1837.46,Cash on Delivery,Silver,Delivered,1.0,4,2,2024
ORD813067,CUST5837,Customer_CUST5837,Male,43,Mumbai,Maharashtra,India,West,2023-01-29,2023-02-03,Books,Non-Fiction,Deep Work,2,1000,0.11,398.34,829.96,1779.53,Debit Card,Regular,Cancelled,4.0,1,1,2023
ORD897885,CUST9305,Customer_CUST9305,Female,45,Ahmedabad,Gujarat,India,West,2024-02-05,2024-02-10,Electronics,Laptops,Canon Camera,3,10000,0.11,6570.12,844.52,26621.89,UPI,Regular,Delivered,4.0,2,1,2024
ORD479267,CUST4964,Customer_CUST4964,Male,43,Indore,Madhya Pradesh,India,Central,2022-07-07,2022-07-10,Home & Kitchen,Cookware,Sofa Set,2,1500,0.23,481.29,679.59,2304.39,UPI,Premium,Pending,1.0,7,3,2022
ORD580649,CUST4534,Customer_CUST4534,Male,33,Pune,Maharashtra,India,West,2022-01-30,2022-02-04,Sports & Outdoors,Camping,Running Shoes,4,800,0.16,562.31,412.78,2682.8,Cash on Delivery,Premium,Cancelled,4.0,1,1,2022
ORD591325,CUST9470,Customer_CUST9470,Male,29,Nagpur,Maharashtra,India,West,2022-01-08,2022-01-14,Electronics,Tablets,iPhone 14,2,30000,0.25,9614.06,975.5,45050.54,Credit Card,Gold,Pending,2.0,1,1,2022
ORD137040,CUST3865,Customer_CUST3865,Male,37,Hyderabad,Telangana,India,South,2023-12-06,2023-12-16,Books,Comics,Sapiens,1,300,0.24,26.94,122.99,227.26,Cash on Delivery,Gold,Delivered,5.0,12,4,2023
ORD631876,CUST7051,Customer_CUST7051,Female,33,Chennai,Tamil Nadu,India,South,2023-11-08,2023-11-18,Books,Non-Fiction,Harry Potter,5,150,0.05,153.38,2448.34,712.64,Net Banking,Regular,Cancelled,2.0,11,4,2023
ORD280633,CUST5763,Customer_CUST5763,Female,34,Mumbai,Maharashtra,India,West,2023-02-21,2023-03-01,Sports & Outdoors,Cycling,Mountain Bike,3,3000,0.28,1574.29,1047.03,6517.01,Debit Card,Premium,Cancelled,2.0,2,1,2023
ORD522889,CUST1873,Customer_CUST1873,Male,54,Kolkata,West Bengal,India,East,2023-07-30,2023-08-05,Books,Comics,Atomic Habits,5,1000,0.07,639.4,1654.35,4674.78,Credit Card,Premium,Pending,3.0,7,3,2023
ORD663394,CUST7035,Customer_CUST7035,Male,56,Hyderabad,Telangana,India,South,2022-05-24,2022-06-03,Electronics,Accessories,Canon Camera,3,70000,0.07,13204.73,309.41,196346.76,Credit Card,Gold,Pending,2.0,5,2,2022
ORD142344DUP,CUST2723,Customer_CUST2723,Female,25,Pune,Maharashtra,India,West,2024-05-27,2024-06-04,Clothing,Footwear,Adidas Shoes,2,300,0.23,23.78,845.59,459.81,UPI,Gold,Cancelled,3.0,5,2,2024
ORD544195,CUST9880,Customer_CUST9880,Male,37,Hyderabad,Telangana,India,South,2024-08-08,2024-08-16,Books,Children,The Alchemist,5,300,0.0,313.52,1656.99,1498.57,Net Banking,Gold,Returned,2.0,8,3,2024
ORD104724,CUST1088,Customer_CUST1088,Female,55,Delhi,Delhi,India,North,2022-10-30,2022-11-09,Books,Academic,1984,1,200,0.08,15.01,285.13,184.39,Credit Card,Regular,Returned,5.0,10,4,2022
ORD289080,CUST5920,Customer_CUST5920,Female,18,Bangalore,Karnataka,India,South,2023-10-09,2023-10-10,Books,Fiction,Harry Potter,5,500,0.3,395.83,1315.02,1761.03,Cash on Delivery,Silver,Cancelled,4.0,10,4,2023
ORD181541,CUST8331,Customer_CUST8331,Female,48,Mumbai,Maharashtra,India,West,2022-12-03,2022-12-10,Sports & Outdoors,Team Sports,Running Shoes,1,800,0.21,150.42,272.0,634.79,Debit Card,Gold,Delivered,5.0,12,4,2022
ORD754776,CUST3024,Customer_CUST3024,Male,26,Lucknow,Uttar Pradesh,India,North,2022-08-10,2022-08-18,Home & Kitchen,Bedding,Mixer Grinder,3,2000,0.09,1316.24,214.23,5451.61,Net Banking,Regular,Cancelled,4.0,8,3,2022
ORD420710,CUST8122,Customer_CUST8122,Male,43,Hyderabad,Telangana,India,South,2024-01-18,2024-01-21,Sports & Outdoors,Fitness,Football,5,3000,0.11,1744.14,848.79,13361.04,Net Banking,Regular,Cancelled,4.0,1,1,2024
ORD969737,CUST1847,Customer_CUST1847,Female,18,Lucknow,Uttar Pradesh,India,North,2024-03-01,2024-03-07,Electronics,Tablets,Fitbit Watch,4,70000,0.17,38359.71,1060.61,232599.6,Debit Card,Gold,Returned,5.0,3,1,2024
ORD310006,CUST9720,Customer_CUST9720,Male,30,Mumbai,Maharashtra,India,West,2022-01-08,2022-01-03,Home & Kitchen,Furniture,Dining Table,5,5000,0.16,1155.81,2271.81,20895.36,Credit Card,Regular,Delivered,3.0,1,1,2022
ORD631609,CUST2794,Customer_CUST2794,Female,44,Hyderabad,Telangana,India,South,2024-06-19,2024-06-29,Sports & Outdoors,Outdoor Gear,Running Shoes,1,800,0.23,130.64,271.23,617.95,Net Banking,Gold,Returned,4.0,6,2,2024
ORD689379,CUST7214,Customer_CUST7214,Male,34,Jaipur,Rajasthan,India,North,2023-12-14,2023-12-24,Home & Kitchen,Furniture,Wall Art,5,5000,0.08,1166.37,1348.4,22975.18,Net Banking,Premium,Delivered,4.0,12,4,2023
ORD865721,CUST6753,Customer_CUST6753,Male,32,Nagpur,Maharashtra,India,West,2023-01-27,2023-01-30,Home & Kitchen,Furniture,Microwave Oven,5,1500,0.28,859.21,1400.25,5368.29,Debit Card,Regular,Delivered,5.0,1,1,2023
ORD307927,CUST5073,Customer_CUST5073,Male,51,Mumbai,Maharashtra,India,West,2022-07-16,2022-07-24,Home & Kitchen,Appliances,Dining Table,4,10000,0.2,7476.71,1680.06,32190.21,Debit Card,Silver,Returned,2.0,7,3,2022
ORD965041,CUST5616,Customer_CUST5616,Male,18,Hyderabad,Telangana,India,South,2023-09-06,2023-09-14,Books,Non-Fiction,1984,2,1000,0.13,136.66,607.62,1738.77,Net Banking,Silver,Returned,3.0,9,3,2023
ORD406805,CUST1032,Customer_CUST1032,Male,28,Delhi,Delhi,India,North,2022-03-19,2022-03-28,Books,Academic,Sapiens,2,200,0.19,40.02,553.78,325.8,Credit Card,Premium,Pending,5.0,3,1,2022
ORD334040,CUST5197,Customer_CUST5197,Male,41,Bangalore,Karnataka,India,South,2024-05-05,2024-05-15,Home & Kitchen,Furniture,Sofa Set,3,5000,0.24,2764.44,195.3,11336.73,Cash on Delivery,Regular,Cancelled,2.0,5,2,2024
ORD284942,CUST6085,Customer_CUST6085,Male,29,Kolkata,West Bengal,India,East,2024-03-01,2024-03-04,Books,Children,The Alchemist,1,200,0.05,41.79,305.03,189.16,Net Banking,Regular,Pending,5.0,3,1,2024
ORD200291,CUST3528,Customer_CUST3528,Male,18,Chennai,Tamil Nadu,India,South,2023-10-19,2023-10-28,Books,Comics,Atomic Habits,4,300,0.06,124.83,980.89,1132.58,Cash on Delivery,Gold,Delivered,3.0,10,4,2023
ORD558119DUP,CUST8284,Customer_CUST8284,Female,37,Bangalore,Karnataka,India,South,2022-11-03,2022-11-06,Books,Children,Deep Work,1,1000,0.07,48.51,116.49,928.92,UPI,Premium,Returned,5.0,11,4,2022
ORD733608,CUST6496,Customer_CUST6496,Male,18,Ahmedabad,Gujarat,India,West,2022-05-17,2022-05-16,Sports & Outdoors,Team Sports,Running Shoes,1,2500,-0.1,337.51,58.04,2750.0,UPI,Gold,Returned,4.0,5,2,2022
ORD853411,CUST6065,Customer_CUST6065,Male,30,Hyderabad,Telangana,India,South,2023-11-16,2023-11-25,Clothing,Men's Wear,Adidas Shoes,5,1500,0.11,646.57,276.51,6684.5,Credit Card,Silver,Returned,1.0,11,4,2023
